"No.",,"RIa","Compoundb","Peak area (%)","Identificationc"
"51","1593","1592","viridiflorol","0.1 ± 0.1","RI, MS"
"52","1594","1594","salvia-4(14)-en-1-one","0.1 ± 0.2","RI, MS"
"53","1603","1604","khusimone","0.2 ± 0.1","RI, MS"
"54","1610","1608","humulene epoxide","1.4 ± 0.5","RI, MS"
"55","1614","1619","1,10-di-epi-cubenol","0.1 ± 0.2","RI, MS"
"56","1619","1619","junenol","0.1 ± 0.1","RI, MS"
"57","1627","1628","1-epi-cubenol","0.2 ± 0.3","RI, MS"
"58","1636","1640","caryophylla-4(12),8(13)-dien-5-ole","0.3 ± 0.1","RI, MS"
"59","1643","1642","epi-α-muurolol","2.6 ± 0.2","RI, MS"
"60","1646","1646","α-muurolol","0.7 ± 0.3","RI, MS"
"61","1657","1654","α-cadinol","4.4 ± 1.2","RI, MS"
"62","1672","1669","14-hydroxy-9-epi-β-caryophyllene","1.3 ± 0.1","RI, MS"
"63","1686","1688","eudesma-4(15),7-dien-1-ole","0.3 ± 0.2","RI, MS"
"64","1716","1715","(2E, 6Z)-farnesol","0.2 ± 0.1","RI, MS"
"65","1798","1803","14-hydroxy-δ-cadinene","tr","RI, MS"
"66","1915","1921","methyl palmitate","0.1 ± 0.1","RI, MS"
"67","1961","1960","palmitic acid","0.3 ± 0.2","RI, MS"
"68","2180","2184","sandaracopimarinal","tr","RI, MS"
"69","2300","2300","tricosane","0.2 ± 0.1","RI, MS"
"70","2500","2500","pentacosane","0.1 ± 0.2","RI, MS"
"71","2700","2700","heptacosane","0.4 ± 0.2","RI, MS"
"72","2900","2900","nonacosane","tr","RI, MS"
" "," "," "," "," "," "
" "," "," ","monoterpene hydrocarbons","41.1"," "
" "," "," ","monoterpene alcohols","1.3"," "
" "," "," ","sesquiterpene hydrocarbons","29.9"," "
" "," "," ","sesquiterpene alcohols","14.7"," "
" "," "," ","miscellaneous sesquiterpene","11.1"," "
" "," "," ","other compounds","1.5"," "
" "," "," ","total","99.6"," "
,,,,,"Notes: aRI, retention indexes on HP-5MS column or literature values. bCompounds are listed in order of their elution time from a HP-5-MS column. cPercentages of each compound were calculated from FID data. Data represents means ± standard deviation of triplicate samples (tr, trace, i.e. < 0.1%). dIndentification methods: RI, retention index; MS, mass spectroscopy. eCorrect isomer not identified."
